commission,niveau,groupe_competences
ski-de-randonnee,SPE,2.3 Progression en ski alpinisme 2 : pentes modérées à fortes et/ou sur glacier
ski-de-randonnee,SPE,2.4 Progression à pieds et sur arête de rocher enneigée 2
ski-de-randonnee,SPE,3.1 Le matériel en ski alpinisme 2 : pratique autonome
ski-de-randonnee,PER,3.2 Réussir sa sortie en sports de neige - pratique autonome
ski-de-randonnee,PER,3.3 Environnement de pratique - milieu montagne 2 (CO2*)
ski-de-randonnee,PER,3.4 Environnement de pratique - milieu montagne enneigée 2 (NA2)
ski-de-randonnee,INI,1.1 Mon niveau de pratique en ski de randonnée 1
ski-de-randonnee,INI,1.2 Mon expérience en ski de randonnée 1
ski-de-randonnee,INI,2.1 Progression ski de randonnée en montée 1
ski-de-randonnee,INI,2.1 Progression à ski, en montée 1
ski-de-randonnee,INI,2.2 Progression ski de randonnée en descente 1
ski-de-randonnee,INI,2.2 Progression à ski, en descente 1
ski-de-randonnee,INI,2.3 Progression en neige dure à pieds 1
ski-de-randonnee,INI,3.1 Mon matériel - mon équipement en ski de randonnée 1
ski-de-randonnee,INI,3.3 Environnement de pratique - milieu montagne 1 (CO1)
ski-de-randonnee,INI,3.4 Environnement de pratique - milieu montagne enneigée 1 (NA1)
ski-de-randonnee,PER,1.1 Mon niveau de pratique en ski de randonnée 2
ski-de-randonnee,PER,1.2 Mon expérience en ski de randonnée 2
ski-de-randonnee,PER,2.1 Progression ski de randonnée en montée 2
ski-de-randonnee,PER,2.2 Progression ski de randonnée en descente 2
ski-de-randonnee,PER,2.3 Progression en neige dure à pieds 2
ski-de-randonnee,PER,3.1 Mon matériel en ski de randonnée 2 - pratique autonome
ski-de-randonnee,PER,3.3 Environnement de pratique - milieu montagne 2 (CO2*)
ski-de-randonnee,PER,3.4 Environnement de pratique - milieu montagne enneigée 2 (NA2)
snowboard-rando,INI,1.1 Mon niveau de pratique en snowboard de randonnée 1
snowboard-rando,INI,1.2 Mon expérience en snowboard de randonnée 1
snowboard-rando,INI,2.1 Progression snowboard de randonnée en montée 1
snowboard-rando,INI,2.2 Progression snowboard de randonnée en descente 1
snowboard-rando,INI,2.3 Progression en neige dure à pieds 1
snowboard-rando,INI,3.1 Mon matériel 1 - mon équipement en snowboard de randonnée
snowboard-rando,INI,3.2 Les bons comportements en sports de neige
snowboard-rando,INI,3.2 Les bons comportements en sortie encadrée en sports de neige
snowboard-rando,INI,3.3 Environnement de pratique - milieu montagne 1 (CO1)
snowboard-rando,INI,3.4 Environnement de pratique - milieu montagne enneigée 1 (NA1)
snowboard-rando,PER,1.1 Mon niveau de pratique en snowboard de randonnée 2
snowboard-rando,PER,1.2 Mon expérience en snowboard de randonnée 2
snowboard-rando,PER,2.1 Progression snowboard de randonnée en montée 2
snowboard-rando,PER,2.2 Progression snowboard de randonnée en descente 2
snowboard-rando,PER,2.3 Progression en neige dure à pieds 2
snowboard-rando,PER,3.1 Mon matériel en snowboard de randonnée 2 - pratique autonome
snowboard-rando,PER,3.2 Réussir sa sortie en sports de neige - pratique autonome
snowboard-rando,PER,3.3 Environnement de pratique - milieu montagne 2 (CO2*)
snowboard-rando,PER,3.4 Environnement de pratique - milieu montagne enneigée 2 (NA2)
randonnee,SPE,1.1 Mon niveau de pratique en randonnée alpine
randonnee,SPE,1.2 Mon expérience en randonnée alpine
randonnee,SPE,2.1 Progression en terrain enneigé
randonnee,SPE,2.2 Progression en terrain escarpé
randonnee,SPE,3.1 Le matériel en randonnée alpine - pratique autonome
randonnee,PER,3.2 Réussir sa sortie en randonnée montagne/trail : pratique autonome
randonnee,PER,3.3 Environnement de pratique - milieu montagne 2 (CO2*)
randonnee,INI,1.1 Mon niveau de pratique en randonnée montagne 1
randonnee,INI,1.2 Mon expérience en randonnée montagne 1
randonnee,INI,2.1 Progression et sécurité en randonnée montagne 1
randonnee,INI,3.1 Mon matériel - mon équipement en randonnée montagne 1
randonnee,INI,3.2 Les bons comportements en randonnée montagne
randonnee,INI,3.3 Environnement de pratique - milieu montagne 1 (CO1)
randonnee,PER,1.1 Mon niveau de pratique en randonnée montagne 2
randonnee,PER,1.2 Mon expérience en randonnée montagne 2
randonnee,PER,2.1 Progression et sécurité en randonnée montagne 2
randonnee,PER,3.1 Mon matériel en randonnée montagne 2 - pratique encadrée
randonnee,PER,3.1 Mon matériel en randonnée montagne 2 - pratique autonome
trail,INI,1.1 Niveau de pratique en trail
trail,INI,1.2 Expériences en trail
trail,INI,2.1 En montée
trail,INI,2.2 Sur le plat et en descente
trail,INI,"3.1 Mon matériel, mon équipement en trail"
trail,INI,3.2 Les bons comportements en trail de montagne
trail,INI,3.3 Environnement de pratique - milieu montagne 1 (CO1)
trail,PER,1.1 Niveau de pratique en trail
trail,PER,1.2 Expériences en trail
trail,PER,2.1 Progression et sécurité en trail
trail,PER,2.2 Sécurité
trail,PER,"3.1 Mon matériel, mon équipement en trail"
trail,PER,3.2 Réussir sa sortie en randonnée montagne/trail : pratique autonome
trail,PER,3.3 Environnement de pratique - milieu montagne 2 (CO2*)
canyon,INI,1.1 Mon niveau de pratique en canyonisme 1
canyon,INI,1.2 Mon expérience en canyonisme 1
canyon,INI,2.1 Progression aquatique 1
canyon,INI,2.2 Progression et franchissement d'obstacles verticaux 1
canyon,INI,3.1 Mon matériel - mon équipement en canyonisme 1
canyon,INI,3.2 Les bons comportements en canyonisme
canyon,INI,3.3 Environnement de pratique - milieu montagne 1 (CO1)
canyon,PER,1.1 Mon niveau de pratique en canyonisme 2
canyon,PER,1.2 Mon expérience en canyonisme 2
canyon,PER,2.1 Progression aquatique 2
canyon,PER,2.2 Progression verticale 2
canyon,PER,2.3 Techniques d'équipement
canyon,PER,2.4 Techniques de secours
canyon,PER,3.1 Mon matériel en canyonisme 2 - pratique autonome
canyon,PER,3.2 Réussir sa sortie en canyonisme - pratique autonome
canyon,PER,3.3 Environnement de pratique - milieu montagne 2 (CO2*)
canyon,SPE,1.1 Niveau de pratique
canyon,SPE,1.2 Mon expérience en canyonisme 2
